pdb_id,title,classification,organism,expression_system,method,structure_resolution,deposition_authors,uniprot_id,pdb_doi,status
3avk,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.75,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVK/pdb,success
3avm,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.88,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVM/pdb,success
3avn,Crystal structures of novel allosteric peptide inhibitors of HIV integrase in the LEDGF binding site,RECOMBINATION/INHIBITOR,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,2.1,"Peat, T.S., Deadman, J.J., Newman, J., Rhodes, D.I.",P12497,10.2210/pdb3AVN/pdb,success
5xn3,Crystal structure of SPSB2 in complex with a rational designed RGD containing cyclic peptide inhibitor of SPSB2-iNOS interaction,PROTEIN BINDING/INHIBITOR,Homo sapiens,Escherichia coli,X-RAY DIFFRACTION,1.34,"You, T., Kuang, Z.",P35228,10.2210/pdb5XN3/pdb,success
1sfi,"High resolution structure of a potent, cyclic protease inhibitor from sunflower seeds",HYDROLASE/HYDROLASE INHIBITOR,Bos taurus,,X-RAY DIFFRACTION,1.65,"Luckett, S., Garcia, R.S., Barker, J.J., Konarev, A.V., Shewry, P., Clarke, A.R., Brady, R.L.",P00760,10.2210/pdb1SFI/pdb,success
3p8f,Crystal Structure of MT-SP1 in complex with SFTI-1,HYDROLASE/HYDROLASE INHIBITOR,Homo sapiens,Saccharomyces cerevisiae,X-RAY DIFFRACTION,2.0,"Yuan, C., Huang, M., Chen, L.",,10.2210/pdb3P8F/pdb,success
4k1e,Atomic resolution crystal structures of Kallikrein-Related Peptidase 4 complexed with a modified SFTI inhibitor FCQR,HYDROLASE/HYDROLASE INHIBITOR,Homo sapiens,Escherichia coli,X-RAY DIFFRACTION,1.3,"Ilyichova, O.V., Swedberg, J.E., de Veer, S.J., Sit, K.C., Harris, J.M., Buckle, A.M.",,10.2210/pdb4K1E/pdb,success
4kel,Atomic resolution crystal structure of Kallikrein-Related Peptidase 4 complexed with a modified SFTI inhibitor FCQR(N),HYDROLASE/HYDROLASE INHIBITOR,Homo sapiens,Escherichia coli,X-RAY DIFFRACTION,1.15,"Ilyichova, O.V., Swedberg, J.E., de Veer, S.J., Sit, K.C., Harris, J.M., Buckle, A.M.",,10.2210/pdb4KEL/pdb,success
3wnf,Cyclic hexapeptide CKIDNC in complex with HIV-1 integrase,Viral Protein/Peptide,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Escherichia coli,X-RAY DIFFRACTION,1.45,"Wielens, J., Chalmers, D.K., Parker, M.W.",P12497,10.2210/pdb3WNF/pdb,success
4ou3,Crystal structure of porcine aminopeptidase N complexed with CNGRCG tumor-homing peptide,HYDROLASE/PROTEIN BINDING,Sus scrofa,Spodoptera frugiperda,X-RAY DIFFRACTION,1.95,"Liu, C., Yang, Y., Chen, L., Lin, Y.-L., Li, F.",P15145,10.2210/pdb4OU3/pdb,success
1smf,Studies on an artificial trypsin inhibitor peptide derived from the mung bean inhibitor,HYDROLASE/HYDROLASE INHIBITOR,Bos taurus,,X-RAY DIFFRACTION,2.1,"Huang, Q., Li, Y., Zhang, S., Liu, S., Tang, Y., Qi, C.",P00760,10.2210/pdb1SMF/pdb,success
3p72,structure of platelet Glycoprotein 1b alpha with a bound peptide inhibitor,Blood Clotting/Inhibitor,Homo sapiens,Homo sapiens,X-RAY DIFFRACTION,1.9,"McEwan, P.A., Andrews, R.K., Emsley, J.",P07359,10.2210/pdb3P72/pdb,success
2ck0,"ANTI-ANTI-IDIOTYPIC ANTIBODY AGAINST HUMAN ANGIOTENSIN II, COMPLEX WITH A SYNTHETIC CYCLIC PEPTIDE",IMMUNOGLOBULIN,Mus musculus,,X-RAY DIFFRACTION,2.2,"Pan, Y.H., Amzel, L.M.",P01837,10.2210/pdb2CK0/pdb,success
5th2,Cetuximab Fab in complex with L5Q meditope variant,IMMUNE SYSTEM,Mus musculus,unidentified,X-RAY DIFFRACTION,1.84,"Bzymek, K.P., Williams, J.C.",,10.2210/pdb5TH2/pdb,success
5djc,Fc Heterodimer Design 8.1 L368V/Y407A + T366V/K409F,IMMUNE SYSTEM,Homo sapiens,Homo sapiens,X-RAY DIFFRACTION,2.1,"Atwell, S., Leaver-Fay, A., Froning, K.J., Aldaz, H., Pustilnik, A., Lu, F., Huang, F., Yuan, R., Dhanani, S.H., Chamberlain, A.K., Fitchett, J.R., Gutierrez, B., Hendle, J., Secrist, E., Demarest, S.J., Kuhlman, B.",P01857,10.2210/pdb5DJC/pdb,success
4ib5,Structure of human protein kinase CK2 catalytic subunit in complex with a CK2beta-competitive cyclic peptide,TRANSFERASE,Homo sapiens,Escherichia coli,X-RAY DIFFRACTION,2.2,"Raaf, J., Guerra, B., Neundorf, I., Bopp, B., Issinger, O.-G., Jose, J., Pietsch, M., Niefind, K.",P68400,10.2210/pdb4IB5/pdb,success
5h5q,Crystal structure of human GPX4 in complex with GXpep-1,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,Homo sapiens,Escherichia coli,X-RAY DIFFRACTION,1.1,"Sogabe, S., Kadotani, A., Lane, W., Snell, G.",P36969,10.2210/pdb5H5Q/pdb,success
5eoc,Crystal structure of Fab C2 in complex with a Cyclic variant of Hepatitis C Virus E2 epitope I,IMMUNE SYSTEM,Mus musculus,,X-RAY DIFFRACTION,1.98,"Berisio, R., Ruggiero, A., Sandomenico, A., Patel, A.H., Ruvo, M., Vitagliano, L.",P27958,10.2210/pdb5EOC/pdb,success
5wxr,Crystal structure of uPA in complex with upain-2-4-W3A,HYDROLASE/HYDROLASE INHIBITOR,Homo sapiens,Komagataella pastoris,X-RAY DIFFRACTION,1.75,"Jiang, L., Huang, M.",P00749,10.2210/pdb5WXR/pdb,success
4m1d,Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN,IMMUNE SYSTEM,Homo sapiens,Homo sapiens,X-RAY DIFFRACTION,1.8,"Killikelly, A., Kong, X.P.",P05877,10.2210/pdb4M1D/pdb,success
